lat	lon	Total Water Column (ft)
25.912598979251143	-80.13760427998459	8
25.911770166884125	-80.13714141181809	13
25.910779439341894	-80.13645996701729	13
25.909557402077226	-80.13656711242659	15
25.90824863106063	-80.13703676265452	15
25.907296273975987	-80.13684531650534	16
25.90651883668886	-80.13631795039223	7
25.908020999035585	-80.1356587427519	8
25.906993205812768	-80.13469190487858	14
25.90526971690757	-80.13346010635283	12
25.90790615029765	-80.13350895592254	9
25.909004646818488	-80.13482789429816	10
25.910410707436696	-80.1341928498949	8
25.910586463835216	-80.13477904472845	16
25.912080382649577	-80.13287391151927	14
25.912783396720357	-80.13433939860343	9
25.90364544057296	-80.13410767182567	9
25.904168420721618	-80.13174789630781	12
25.905768110314128	-80.1323634899214	8
25.914442972197406	-80.13400507289042	9
